recent_pay_mean,pay_status_max,consecutive_delays,pay_0,severe_delay_count,pay_status_mean,financial_strain,pay_2,edu_payment_interaction,historical_pay_mean,pay_3,pay_volatility,pay_5,pay_4,pay_trend_change,pay_6,pay_amt1,pay_ratio_min,pay_improvement,pay_amt_mean,pay_amt_max,pay_amt2,pay_amt3,limit_bal,limit_per_age,util_rate_2,bill_recent_vs_avg,util_rate_max,pay_amt5,util_rate_mean,default
1.0,2,2,2,2,-0.3333333333333333,6,2,-0.3333333333333333,-1.6666666666666667,-1,1.8618986725025255,-2,-1,2.666666666666667,-2,0,0.0,4,114.83333333333331,689,689,0,20000,800.0,0.1550922453877306,3.045136186770428,0.1956402179891005,0,0.0641967901604919,1
0.3333333333333333,2,1,-1,2,0.5,5,2,0.5,0.6666666666666666,0,1.224744871391589,0,0,-0.3333333333333333,2,0,0.0,-3,833.3333333333334,2000,1000,1000,120000,4444.444444444444,0.0143748802093315,0.9419891119826728,0.0287914267381105,0,0.0237178579067396,1
0.0,0,0,0,0,0.0,3,0,0.0,0.0,0,0.0,0,0,0.0,0,1518,0.0519151846785225,0,1836.3333333333333,5000,1500,1000,90000,2571.4285714285716,0.1558538238464017,1.7257104634119949,0.3248741680647993,1000,0.1882442046940219,0
0.0,0,0,0,0,0.0,3,0,0.0,0.0,0,0.0,0,0,0.0,0,2000,0.0243447212529416,0,1398.0,2019,2019,1200,50000,1315.7894736842106,0.9646407071858564,1.218725685138757,0.98580028399432,1069,0.7710979113751059,0
-0.6666666666666666,0,0,-1,0,-0.3333333333333333,0,0,-0.3333333333333333,0.0,-1,0.5163977794943223,0,0,-0.6666666666666666,0,2000,0.035490278068158,-1,9841.5,36681,36681,10000,50000,862.0689655172414,0.113397732045359,0.4728336915268187,0.7166856662866743,689,0.3644560442124491,0
0.0,0,0,0,0,0.0,3,0,0.0,0.0,0,0.0,0,0,0.0,0,2500,0.0114044680518668,0,1295.3333333333333,2500,1815,657,50000,1315.7894736842106,1.1413571728565428,1.622711238031245,1.2879742405151895,1000,0.7936974593841458,0
0.0,0,0,0,0,0.0,4,0,0.0,0.0,0,0.0,0,0,0.0,0,55000,0.028467673145564,0,30126.5,55000,40000,38000,500000,16666.666666666668,0.8240443519112962,0.8103168133609288,1.0853038293923412,13750,0.9081965169402992,0
-0.6666666666666666,0,0,0,0,-0.5,1,-1,-0.5,-0.3333333333333333,-1,0.5477225575051661,0,0,-0.3333333333333333,-1,380,-10.677215189873415,1,798.5,1687,601,0,100000,4166.666666666667,0.0037999620003799,5.281351912244293,0.1187588124118758,1687,0.0224764419022476,0
0.6666666666666666,2,1,0,1,0.3333333333333333,6,0,0.6666666666666666,0.0,2,0.816496580927726,0,0,0.6666666666666666,0,3329,0.0,0,1126.8333333333333,3329,0,432,140000,4827.586206896552,0.1006849951071778,1.0382103100371065,0.1006849951071778,1000,0.0776327788134846,0
-2.0,-1,0,-2,0,-1.6666666666666667,0,-2,-3.3333333333333335,-1.3333333333333333,-2,0.5163977794943223,-1,-2,-0.6666666666666667,-1,0,0.0,-1,2354.8333333333335,13007,0,0,20000,555.5555555555555,0.0,0.0,0.6955652217389131,1122,0.2243137843107844,0
0.6666666666666666,2,1,0,1,0.1666666666666666,6,0,0.3333333333333333,-0.3333333333333333,2,0.983192080250175,0,0,1.0,-1,2306,0.0012259910093992,1,1078.6666666666667,3738,12,50,200000,5714.285714285715,0.0489347553262233,1.927247411017318,0.0553647231763841,3738,0.028722356388218,0
-1.0,2,1,-1,1,-0.5,3,-1,-0.0,0.0,-1,1.224744871391589,-1,-1,-1.0,2,21818,0.0,-3,11051.333333333334,22301,9966,8583,260000,5000.0,0.0833458332852565,0.8324299858557285,0.0857189010811496,0,0.0566465770003448,0
-0.6666666666666666,0,0,-1,0,-0.8333333333333334,1,0,-0.8333333333333334,-1.0,-1,0.408248290463863,-1,-1,0.3333333333333333,-1,1000,0.0,0,3895.0,6500,6500,6500,630000,15000.0,0.0103174439405651,1.775583351620218,0.0192650487856368,2870,0.0108483954787373,0
1.6666666666666667,2,3,1,3,1.1666666666666667,8,2,1.1666666666666667,0.6666666666666666,2,0.9831920802501752,0,0,1.0,2,3200,0.0,-1,1783.3333333333333,3200,0,3000,70000,2258.064516129032,0.9624005371351838,1.1656997085839305,0.9624005371351838,1500,0.8063813374094657,1
0.0,0,0,0,0,0.0,2,0,0.0,0.0,0,0.0,0,0,0.0,0,3000,0.0423202798781175,0,3000.0,3000,3000,3000,250000,8333.333333333334,0.2682389270442918,1.1384513258939446,0.2835468658125367,3000,0.2490596704279849,0
1.0,2,2,1,1,0.5,6,2,1.0,0.0,0,0.8366600265340756,0,0,1.0,0,0,0.0,1,1033.3333333333333,1500,1500,1100,50000,2083.3333333333335,0.5834483310333793,1.5460793597458533,1.012259754804904,1300,0.6547069058618827,0
0.6666666666666666,2,4,0,4,1.3333333333333333,7,0,0.0,2.0,2,1.0327955589886446,2,2,-1.3333333333333337,2,3200,0.0,-2,1058.3333333333333,3200,0,1500,20000,800.0,0.9004549772511374,0.8689705840797988,0.9551522423878808,1650,0.884630768461577,1
0.0,0,0,0,0,-0.5,0,0,-0.0,-1.0,0,0.5477225575051661,-1,-1,1.0,-1,10358,0.0405618629252404,1,60316.166666666664,195599,10000,75940,320000,6400.0,0.7704225924293987,1.573172398086996,0.7915162765116359,195599,0.5031307193831687,0
-1.0,1,1,1,0,-1.5,2,-2,-0.0,-2.0,-2,1.224744871391589,-2,-2,1.0,-2,0,0.0,3,0.0,0,0,0,360000,7200.0,0.0,0.0,0.0,0,0.0,0
-1.0,1,1,1,0,-1.5,2,-2,-0.0,-2.0,-2,1.224744871391589,-2,-2,1.0,-2,0,0.0,3,0.0,0,0,0,180000,6000.0,0.0,0.0,0.0,0,0.0,0
0.0,0,0,0,0,-0.1666666666666666,1,0,-0.3333333333333333,-0.3333333333333333,0,0.408248290463863,0,0,0.3333333333333333,-1,3000,0.0408329930583911,1,7038.5,33764,1537,1000,130000,3250.0,0.2129829770540226,1.8576951948922016,0.2950592687748555,930,0.1588231372579185,0
-1.0,-1,0,-1,0,-1.0,0,-1,-1.0,-1.0,-1,0.0,-1,-1,0.0,-1,316,0.0,0,263.3333333333333,632,316,0,120000,3000.0,0.0026333113890717,0.996845425867508,0.0052666227781435,316,0.0026333113890717,1
0.6666666666666666,2,3,2,4,1.3333333333333333,5,0,1.3333333333333333,2.0,0,1.0327955589886446,2,2,-1.3333333333333337,2,2007,0.0,0,1835.0,3601,3582,0,70000,2592.5925925925926,0.6063484807359895,0.9285862265096184,0.6700618562591963,0,0.6320743037004234,1
-2.0,-2,0,-2,0,-2.0,1,-2,-0.0,-2.0,-2,0.0,-2,-2,0.0,-2,19428,0.0,0,3764.8333333333335,19428,1473,560,450000,10975.60975609756,0.0431554596545341,1.226205924882281,0.0431554596545341,0,0.0099870148436707,1
0.0,0,0,0,0,-0.1666666666666666,0,0,-0.0,-0.3333333333333333,0,0.408248290463863,0,-1,0.3333333333333333,0,5757,0.0,0,2733.3333333333335,5757,0,5398,90000,3750.0,0.0785546827257474,0.8931283338562911,0.092132309641004,2045,0.0590067517768321,0
0.0,0,0,0,0,0.0,3,0,0.0,0.0,0,0.0,0,0,0.0,0,1973,0.02778703086831,0,1315.1666666666667,1973,1426,1001,50000,2083.3333333333335,0.8361832763344733,1.3332648937709108,0.9523809523809524,1062,0.7143023806190544,0
-0.6666666666666666,1,1,1,0,-0.8333333333333334,2,-2,-0.0,-1.0,-1,0.983192080250175,-1,-1,0.3333333333333333,-1,0,-8.928571428571429,2,416.6666666666667,1000,1000,0,60000,2142.8571428571427,-0.0070832152797453,1.685567010309278,0.0043165947234212,0,-0.0010944262040077,1
0.0,0,0,0,0,0.0,2,0,0.0,0.0,0,0.0,0,0,0.0,0,1300,0.0515852788255683,0,1185.3333333333333,1500,1300,1000,50000,1612.9032258064517,0.3227535449291014,1.2046065874556888,0.4508109837803244,1000,0.374219182283021,0
-1.0,-1,0,-1,0,-1.0,1,-1,-2.0,-1.0,-1,0.0,-1,-1,0.0,-1,3415,0.0,0,6594.5,30430,3421,2044,50000,1041.6666666666667,0.0682986340273194,0.09698115084299,0.6085878282434352,257,0.1340239861869429,0
0.0,0,0,0,0,0.0,2,0,0.0,0.0,0,0.0,0,0,0.0,0,1500,0.0,0,1100.0,1600,1500,1000,50000,1851.851851851852,0.3314933701325973,0.9473261371127224,0.367492650146997,1600,0.3236001946627734,0
-1.0,-1,0,-1,0,-1.0,0,-1,-0.0,-1.0,-1,0.0,-1,-1,0.0,-1,17270,0.0,0,16248.166666666666,37292,13281,15339,230000,8214.285714285714,0.0750648910222129,0.8780153315985653,0.1605340846344146,37292,0.0824242793147276,0
0.6666666666666666,2,1,2,1,0.3333333333333333,5,0,0.3333333333333333,0.0,0,0.816496580927726,0,0,0.6666666666666666,0,1718,0.0302352096617541,2,1155.6666666666667,1718,1500,1000,50000,1470.5882352941176,0.5923481530369392,1.2056493827160495,0.6103477930441391,1000,0.5062198756024879,1
