limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,default,util_rate_1,util_rate_2,util_rate_3,util_rate_4,util_rate_5,util_rate_6,util_rate_mean,util_rate_max,util_rate_min,util_rate_std,pay_ratio_1,pay_ratio_2,pay_ratio_3,pay_ratio_4,pay_ratio_5,pay_ratio_6,pay_ratio_mean,pay_ratio_max,pay_ratio_min,full_payment_count,minimal_payment_count,bill_amt_mean,bill_amt_max,bill_amt_std,bill_trend,bill_growth_rate,bill_recent_vs_avg,pay_amt_mean,pay_amt_max,pay_amt_std,pay_trend,pay_consistency,debt_to_limit,debt_to_limit_max,pay_status_mean,pay_status_max,severe_delay_count,age_utilization,age_limit,behavior_stability,crisis_indicator
20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,0.19564021798910056,0.15509224538773062,0.03444827758612069,0.0,0.0,0.0,0.06419679016049197,0.19564021798910056,0.0,0.08807725711149254,0.0,0.2220431840154689,0.0,0.0,0.0,0.0,0.037007197335911485,0.2220431840154689,0.0,0,5,1284.0,3913,1761.6332194869624,3913,3913.0,3.045136186770428,114.83333333333333,689,281.2830721296016,0,2.428343068744762,0.19564021798910056,0.19564021798910056,-0.3333333333333333,2,2,1.5407229638518074,4.8,3.7992638621198296,0
120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,0.02234981375155207,0.014374880209331588,0.02234981375155207,0.027266439446337946,0.028791426738110516,0.027174773543553805,0.023717857906739664,0.028791426738110516,0.014374880209331588,0.005316354375419987,0.0,0.5793742757821553,0.37271710771524413,0.30553009471432935,0.0,0.6131207847946045,0.31179037716772223,0.6131207847946045,0.0,0,2,2846.1666666666665,3455,637.9678414047738,-579,-0.17749846719803802,0.9419891119826729,833.3333333333334,2000,752.772652709081,-2000,0.9022444898630614,0.02234981375155207,0.028791426738110516,0.5,2,2,0.6166643055752312,31.2,1.126315616036956,0
90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,0.3248741680647993,0.1558538238464017,0.15065388162353752,0.1592315640937323,0.1660870434772947,0.17276474705836603,0.18824420469402192,0.3248741680647993,0.15065388162353752,0.06738279122621284,0.051915184678522575,0.10692899914456801,0.07374631268436578,0.06977393245883338,0.06689410662920597,0.3215434083601286,0.11513365732593739,0.3215434083601286,0.051915184678522575,0,4,16942.166666666668,29239,6064.51859315038,13690,0.8803858520900322,1.7257104634119949,1836.3333333333333,5000,1569.815488096186,-3482,0.8543988505603335,0.3248741680647993,0.3248741680647993,0.0,0,0,6.400302959596745,30.6,1.212331857563179,0
50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,0.9397812043759125,0.9646407071858563,0.9858002839943201,0.5662686746265074,0.5791684166316674,0.5909281814363713,0.7710979113751059,0.9858002839943201,0.5662686746265074,0.21131164412868458,0.042561341533485134,0.04185844010449061,0.024344721252941653,0.0388486667843899,0.03691298342541437,0.03384323812102342,0.036394898536957515,0.042561341533485134,0.024344721252941653,0,6,38555.666666666664,49291,10565.793518078359,17443,0.5903276025450115,1.218725685138757,1398.0,2019,478.05815545809907,1000,0.3417141926076476,0.9397812043759125,0.9858002839943201,0.0,0,0,28.530622720878917,18.5,0.6157470494783581,0
50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,0.17233655326893463,0.11339773204535909,0.7166856662866743,0.41879162416751664,0.38291234175316496,0.3826123477530449,0.3644560442124491,0.7166856662866743,0.11339773204535909,0.21336753412895687,0.23207240659085634,6.468171398342444,0.2790490010045764,0.42977890263120194,0.0359847495691231,0.03549027806815806,1.2467577893677266,6.468171398342444,0.03549027806815806,1,2,18223.166666666668,35835,10668.590073981974,-10514,-0.5495504913234371,0.47283369152681876,9841.5,36681,13786.23073577401,1321,1.4006838441223277,0.17233655326893463,0.7166856662866743,-0.3333333333333333,0,0,20.7739945201096,28.5,1.9860927832040582,0
50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,1.2879742405151897,1.1413571728565428,1.1521369572608549,0.3878722425551489,0.39237215255694885,0.4004719905601888,0.7936974593841458,1.2879742405151897,0.3878722425551489,0.44137015400254453,0.03881927299265539,0.03180304888733135,0.011404468051866895,0.051559680329981955,0.0509683995922528,0.039950062421972535,0.037417488712676826,0.051559680329981955,0.011404468051866895,0,6,39685.666666666664,64400,22068.949070281225,44376,2.2160299625468163,1.622711238031245,1295.3333333333333,2500,713.9388395840828,1700,0.5507370837624707,1.2879742405151897,1.2879742405151897,0.0,0,0,29.366805997213394,18.5,1.106816768046392,0
500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,0.7359285281429437,0.8240443519112962,0.89001221997556,1.0853038293923412,0.966004067991864,0.9478861042277915,0.9081965169402993,1.0853038293923412,0.7359285281429437,0.1211383439882452,0.14947033149801883,0.09708172339475371,0.08539172329486211,0.03729632509849738,0.02846767314556401,0.02905400415660045,0.07112696343138275,0.14947033149801883,0.02846767314556401,0,5,454099.1666666667,542653,60569.29313246661,-105979,-0.22361033453248794,0.8103168133609288,30126.5,55000,16802.717086828547,41230,0.557720258462486,0.7359285281429437,1.0853038293923412,0.0,0,0,26.33769899126868,145.0,0.6911033698959764,0
100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,0.11875881241187589,0.003799962000379996,0.006009939900600994,0.0022099779002209977,-0.0015899841001589985,0.005669943300566994,0.022476441902247648,0.11875881241187589,-0.0015899841001589985,0.047249618579564175,0.03199461143386377,1.5774278215223096,0.0,2.6171171171171173,-10.677215189873417,2.714788732394366,-0.62264781790096,2.714788732394366,-10.677215189873417,3,3,2247.6666666666665,11876,4725.009107574997,11309,19.910211267605632,5.281351912244293,798.5,1687,669.5194545343697,-1162,0.8374227073600622,0.11875881241187589,0.11875881241187589,-0.5,0,0,0.5169581637516959,23.0,2.938671939901567,0
140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,0.08060656709594931,0.10068499510717781,0.08648509653502474,0.08722080556567453,0.08423511260633852,0.026564095970743065,0.07763277881348467,0.10068499510717781,0.026564095970743065,0.0259312285002031,0.2949672160198476,0.0,0.03567594351308944,0.08188666885031116,0.08478887569950823,0.26881720430107525,0.12768931806397196,0.2949672160198476,0.0,0,4,10868.666666666666,14096,3630.397921256934,7566,2.0338709677419353,1.0382103100371063,1126.8333333333333,3329,1153.286159921581,2329,1.0225678970783931,0.08060656709594931,0.10068499510717781,0.3333333333333333,2,1,2.173717806777571,39.2,1.3565613885614438,0
20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,0.0,0.0,0.0,0.0,0.6503174841257937,0.6955652217389131,0.22431378431078444,0.6955652217389131,0.0,0.3477998748882623,0.0,0.0,0.0,13007.0,0.08625461254612546,0.0,2167.847709102091,13007.0,0.0,1,5,4486.5,13912,6956.345297640133,-13912,-0.99992812477539,0.0,2354.8333333333335,13007,5237.737924587928,0,2.2233058045650913,0.0,0.6955652217389131,-1.6666666666666667,-1,0,7.8509824508774555,7.0,3.7734663165740345,0
