recent_pay_mean,pay_status_max,consecutive_delays,pay_0,severe_delay_count,pay_status_mean,financial_strain,pay_2,edu_payment_interaction,historical_pay_mean,pay_3,pay_volatility,pay_5,pay_4,pay_trend_change,pay_6,pay_amt1,pay_ratio_min,pay_improvement,pay_amt_mean,default
1.0,2,2,2,2,-0.3333333333333333,6,2,-0.3333333333333333,-1.6666666666666667,-1,1.8618986725025255,-2,-1,2.666666666666667,-2,0,0.0,4,114.83333333333331,1
0.3333333333333333,2,1,-1,2,0.5,5,2,0.5,0.6666666666666666,0,1.224744871391589,0,0,-0.3333333333333333,2,0,0.0,-3,833.3333333333334,1
0.0,0,0,0,0,0.0,3,0,0.0,0.0,0,0.0,0,0,0.0,0,1518,0.0519151846785225,0,1836.3333333333333,0
0.0,0,0,0,0,0.0,3,0,0.0,0.0,0,0.0,0,0,0.0,0,2000,0.0243447212529416,0,1398.0,0
-0.6666666666666666,0,0,-1,0,-0.3333333333333333,0,0,-0.3333333333333333,0.0,-1,0.5163977794943223,0,0,-0.6666666666666666,0,2000,0.035490278068158,-1,9841.5,0
0.0,0,0,0,0,0.0,3,0,0.0,0.0,0,0.0,0,0,0.0,0,2500,0.0114044680518668,0,1295.3333333333333,0
0.0,0,0,0,0,0.0,4,0,0.0,0.0,0,0.0,0,0,0.0,0,55000,0.028467673145564,0,30126.5,0
-0.6666666666666666,0,0,0,0,-0.5,1,-1,-0.5,-0.3333333333333333,-1,0.5477225575051661,0,0,-0.3333333333333333,-1,380,-10.677215189873415,1,798.5,0
0.6666666666666666,2,1,0,1,0.3333333333333333,6,0,0.6666666666666666,0.0,2,0.816496580927726,0,0,0.6666666666666666,0,3329,0.0,0,1126.8333333333333,0
-2.0,-1,0,-2,0,-1.6666666666666667,0,-2,-3.3333333333333335,-1.3333333333333333,-2,0.5163977794943223,-1,-2,-0.6666666666666667,-1,0,0.0,-1,2354.8333333333335,0
0.6666666666666666,2,1,0,1,0.1666666666666666,6,0,0.3333333333333333,-0.3333333333333333,2,0.983192080250175,0,0,1.0,-1,2306,0.0012259910093992,1,1078.6666666666667,0
-1.0,2,1,-1,1,-0.5,3,-1,-0.0,0.0,-1,1.224744871391589,-1,-1,-1.0,2,21818,0.0,-3,11051.333333333334,0
-0.6666666666666666,0,0,-1,0,-0.8333333333333334,1,0,-0.8333333333333334,-1.0,-1,0.408248290463863,-1,-1,0.3333333333333333,-1,1000,0.0,0,3895.0,0
1.6666666666666667,2,3,1,3,1.1666666666666667,8,2,1.1666666666666667,0.6666666666666666,2,0.9831920802501752,0,0,1.0,2,3200,0.0,-1,1783.3333333333333,1
0.0,0,0,0,0,0.0,2,0,0.0,0.0,0,0.0,0,0,0.0,0,3000,0.0423202798781175,0,3000.0,0
1.0,2,2,1,1,0.5,6,2,1.0,0.0,0,0.8366600265340756,0,0,1.0,0,0,0.0,1,1033.3333333333333,0
0.6666666666666666,2,4,0,4,1.3333333333333333,7,0,0.0,2.0,2,1.0327955589886446,2,2,-1.3333333333333337,2,3200,0.0,-2,1058.3333333333333,1
